Time,Channel A,Channel B
(ns),(V),(mV)

-50.40000062,0.01956947,184.93150000
-50.00000061,0.01956947,185.91000000
-49.60000061,0.00000000,186.88840000
-49.20000060,-0.03913894,182.97450000
-48.80000060,0.03913894,184.93150000
-48.40000059,0.05870841,183.95300000
-48.00000059,0.03913894,188.84540000
-47.60000058,-0.01956947,184.93150000
-47.20000057,0.00000000,184.93150000
-46.80000057,0.01956947,182.97450000
-46.40000056,0.00000000,183.95300000
-46.00000056,-0.01956947,182.97450000
-45.60000055,-0.01956947,182.97450000
-45.20000055,0.01956947,182.97450000
-44.80000054,0.00000000,184.93150000
-44.40000054,0.00000000,182.97450000
-44.00000053,-0.01956947,182.97450000
-43.60000053,-0.03913894,183.95300000
-43.20000052,-0.01956947,183.95300000
-42.80000052,-0.01956947,182.97450000
-42.40000051,0.01956947,184.93150000
-42.00000051,0.03913894,183.95300000
-41.60000050,0.01956947,183.95300000
-41.20000049,-0.01956947,182.97450000
-40.80000049,0.07827789,184.93150000
-40.40000048,0.00000000,183.95300000
-40.00000048,0.01956947,184.93150000
-39.60000047,0.03913894,183.95300000
-39.20000047,0.05870841,183.95300000
-38.80000046,0.00000000,181.01760000
-38.40000046,0.03913894,185.91000000
-38.00000045,-0.01956947,184.93150000
-37.60000045,0.03913894,184.93150000
-37.20000044,-0.03913894,183.95300000
-36.80000044,0.01956947,183.95300000
-36.40000043,0.01956947,182.97450000
-36.00000043,0.01956947,183.95300000
-35.60000042,-0.03913894,185.91000000
-35.20000041,0.01956947,181.99610000
-34.80000041,0.00000000,180.03910000
-34.40000040,0.01956947,181.99610000
-34.00000040,0.03913894,179.06070000
-33.60000039,0.00000000,181.01760000
-33.20000039,0.01956947,181.01760000
-32.80000038,0.00000000,181.01760000
-32.40000038,0.00000000,180.03910000
-32.00000037,0.00000000,179.06070000
-31.60000037,0.00000000,179.06070000
-31.20000036,0.00000000,177.10370000
-30.80000036,0.00000000,178.08220000
-30.40000035,-0.01956947,177.10370000
-30.00000035,0.00000000,178.08220000
-29.60000034,0.01956947,179.06070000
-29.20000033,-0.01956947,177.10370000
-28.80000033,0.01956947,179.06070000
-28.40000032,0.00000000,177.10370000
-28.00000032,0.01956947,178.08220000
-27.60000031,-0.01956947,178.08220000
-27.20000031,0.01956947,180.03910000
-26.80000030,0.00000000,180.03910000
-26.40000030,0.07827789,179.06070000
-26.00000029,0.00000000,177.10370000
-25.60000029,0.00000000,181.01760000
-25.20000028,0.00000000,178.08220000
-24.80000028,-0.01956947,179.06070000
-24.40000027,0.03913894,179.06070000
-24.00000026,0.03913894,181.01760000
-23.60000026,0.03913894,181.01760000
-23.20000025,0.00000000,180.03910000
-22.80000025,0.03913894,178.08220000
-22.40000024,0.03913894,181.99610000
-22.00000024,-0.01956947,181.01760000
-21.60000023,0.03913894,181.01760000
-21.20000023,0.01956947,181.99610000
-20.80000022,0.03913894,181.99610000
-20.40000022,0.01956947,180.03910000
-20.00000021,-0.01956947,184.93150000
-19.60000021,0.01956947,183.95300000
-19.20000020,0.00000000,182.97450000
-18.80000020,0.00000000,182.97450000
-18.40000019,0.00000000,181.99610000
-18.00000018,-0.01956947,181.01760000
-17.60000018,-0.01956947,182.97450000
-17.20000017,0.01956947,181.99610000
-16.80000017,0.01956947,181.99610000
-16.40000016,-0.01956947,181.01760000
-16.00000016,0.00000000,183.95300000
-15.60000015,-0.01956947,181.99610000
-15.20000015,0.00000000,181.99610000
-14.80000014,0.05870841,182.97450000
-14.40000014,0.01956947,181.01760000
-14.00000013,0.00000000,181.99610000
-13.60000013,0.01956947,184.93150000
-13.20000012,0.03913894,182.97450000
-12.80000012,-0.01956947,183.95300000
-12.40000011,-0.01956947,185.91000000
-12.00000010,-0.03913894,182.97450000
-11.60000010,0.05870841,182.97450000
-11.20000009,0.01956947,180.03910000
-10.80000009,0.03913894,176.12520000
-10.40000008,0.11741680,174.16830000
-10.00000008,0.09784736,167.31900000
-9.60000007,0.13698630,161.44810000
-9.20000007,0.27397260,152.64190000
-8.80000006,0.25440310,147.74950000
-8.40000006,0.35225050,140.90020000
-8.00000005,0.41095890,138.94330000
-7.60000005,0.43052840,136.00780000
-7.20000004,0.46966730,136.98630000
-6.80000004,0.48923680,138.94330000
-6.40000003,0.58708420,141.87870000
-6.00000002,0.56751470,145.79260000
-5.60000002,0.58708420,150.68490000
-5.20000001,0.64579250,161.44810000
-4.80000001,0.68493150,166.34050000
-4.40000000,0.68493150,171.23290000
-4.00000000,0.74363990,177.10370000
-3.59999999,0.70450100,183.95300000
-3.19999999,0.74363990,192.75930000
-2.79999998,0.78277890,195.69470000
-2.39999998,0.76320940,200.58710000
-1.99999997,0.80234830,202.54400000
-1.59999997,0.84148730,201.56560000
-1.19999996,0.90019570,200.58710000
-0.79999996,0.90019570,197.65160000
-0.39999995,0.97847350,186.88840000
0.00000006,1.01761200,181.99610000
0.40000006,1.07632100,175.14680000
0.80000007,1.09589000,164.38350000
1.20000007,1.21330700,152.64190000
1.60000008,1.17416800,141.87870000
2.00000008,1.29158500,133.07240000
2.40000009,1.35029400,125.24460000
2.80000009,1.36986300,117.41680000
3.20000010,1.44814100,114.48140000
3.60000010,1.50684900,107.63210000
4.00000011,1.54598800,109.58900000
4.40000011,1.60469700,110.56750000
4.80000012,1.68297500,116.43840000
5.20000012,1.74168300,123.28770000
5.60000013,1.76125200,128.18000000
6.00000014,1.81996100,141.87870000
6.40000014,1.87866900,148.72800000
6.80000015,1.93737800,160.46970000
7.20000015,1.91780800,170.25440000
7.60000016,1.97651700,178.08220000
8.00000016,2.01565600,186.88840000
8.40000017,2.09393300,195.69470000
8.80000017,2.15264200,195.69470000
9.20000018,2.23092000,204.50100000
9.60000018,2.25048900,206.45790000
10.00000019,2.34833700,207.43640000
10.40000019,2.30919800,210.37180000
10.80000020,2.38747500,209.39330000
11.20000021,2.40704500,209.39330000
11.60000021,2.56360100,206.45790000
12.00000022,2.50489200,202.54400000
12.40000022,2.62230900,198.63010000
12.80000023,2.62230900,196.67320000
13.20000023,2.68101800,193.73780000
13.60000024,2.72015600,192.75930000
14.00000024,2.75929500,186.88840000
14.40000025,2.79843400,186.88840000
14.80000025,2.87671200,185.91000000
15.20000026,2.87671200,185.91000000
15.60000026,2.99412900,183.95300000
16.00000027,2.97456000,185.91000000
16.40000027,3.05283800,182.97450000
16.80000028,3.05283800,185.91000000
17.20000029,3.09197600,185.91000000
17.60000029,3.13111500,186.88840000
18.00000030,3.17025400,188.84540000
18.40000030,3.15068500,189.82390000
18.80000031,3.24853200,190.80230000
19.20000031,3.20939300,188.84540000
19.60000032,3.26810200,192.75930000
20.00000032,3.26810200,190.80230000
20.40000033,3.30724100,186.88840000
20.80000033,3.30724100,189.82390000
21.20000034,3.34638000,187.86690000
21.60000034,3.34638000,186.88840000
22.00000035,3.40508800,185.91000000
22.40000035,3.38551900,190.80230000
22.80000036,3.48336600,189.82390000
23.20000037,3.44422700,194.71620000
23.60000037,3.50293500,196.67320000
24.00000038,3.52250500,195.69470000
24.40000038,3.56164400,196.67320000
24.80000039,3.54207400,197.65160000
25.20000039,3.58121300,200.58710000
25.60000040,3.62035200,199.60860000
26.00000040,3.62035200,199.60860000
26.40000041,3.62035200,200.58710000
26.80000041,3.62035200,201.56560000
27.20000042,3.65949100,203.52250000
27.60000042,3.67906100,199.60860000
28.00000043,3.65949100,198.63010000
28.40000043,3.71819900,200.58710000
28.80000044,3.63992200,195.69470000
29.20000045,3.67906100,198.63010000
29.60000045,3.67906100,197.65160000
30.00000046,3.73776900,195.69470000
30.40000046,3.71819900,195.69470000
30.80000047,3.73776900,193.73780000
31.20000047,3.69863000,193.73780000
31.60000048,3.73776900,193.73780000
32.00000048,3.75733900,191.78080000
32.40000049,3.79647800,189.82390000
32.80000049,3.75733900,190.80230000
33.20000050,3.79647800,192.75930000
33.60000050,3.83561600,189.82390000
34.00000051,3.85518600,186.88840000
34.40000051,3.73776900,186.88840000
34.80000052,3.81604700,187.86690000
35.20000053,3.77690800,187.86690000
35.60000053,3.83561600,186.88840000
36.00000054,3.83561600,186.88840000
36.40000054,3.81604700,187.86690000
36.80000055,3.81604700,185.91000000
37.20000055,3.77690800,184.93150000
37.60000056,3.81604700,184.93150000
38.00000056,3.81604700,185.91000000
38.40000057,3.75733900,185.91000000
38.80000057,3.77690800,184.93150000
39.20000058,3.73776900,187.86690000
39.60000058,3.77690800,186.88840000
40.00000059,3.75733900,184.93150000
40.40000059,3.75733900,184.93150000
40.80000060,3.69863000,188.84540000
41.20000061,3.71819900,189.82390000
41.60000061,3.73776900,190.80230000
42.00000062,3.75733900,191.78080000
42.40000062,3.71819900,195.69470000
42.80000063,3.69863000,191.78080000
43.20000063,3.71819900,194.71620000
43.60000064,3.73776900,194.71620000
44.00000064,3.69863000,194.71620000
44.40000065,3.69863000,194.71620000
44.80000065,3.65949100,192.75930000
45.20000066,3.69863000,191.78080000
45.60000066,3.65949100,193.73780000
46.00000067,3.65949100,193.73780000
46.40000068,3.63992200,192.75930000
46.80000068,3.60078300,191.78080000
47.20000069,3.62035200,190.80230000
47.60000069,3.65949100,188.84540000
48.00000070,3.58121300,190.80230000
48.40000070,3.63992200,188.84540000
48.80000071,3.60078300,190.80230000
49.20000071,3.58121300,189.82390000
49.60000072,3.58121300,190.80230000
50.00000072,3.60078300,188.84540000
50.40000073,3.56164400,189.82390000
50.80000073,3.60078300,188.84540000
51.20000074,3.46379600,188.84540000
51.60000074,3.52250500,187.86690000
52.00000075,3.46379600,188.84540000
52.40000076,3.48336600,188.84540000
52.80000076,3.50293500,188.84540000
53.20000077,3.50293500,184.93150000
53.60000077,3.38551900,185.91000000
54.00000078,3.42465800,184.93150000
54.40000078,3.38551900,184.93150000
54.80000079,3.40508800,181.99610000
55.20000079,3.44422700,183.95300000
55.60000080,3.44422700,181.01760000
56.00000080,3.36594900,183.95300000
56.40000081,3.40508800,182.97450000
56.80000081,3.38551900,181.99610000
57.20000082,3.44422700,181.01760000
57.60000082,3.32681000,181.99610000
58.00000083,3.38551900,179.06070000
58.40000084,3.30724100,180.03910000
58.80000084,3.34638000,178.08220000
59.20000085,3.32681000,178.08220000
59.60000085,3.34638000,177.10370000
60.00000086,3.24853200,179.06070000
60.40000086,3.28767100,178.08220000
60.80000087,3.24853200,178.08220000
61.20000087,3.34638000,177.10370000
61.60000088,3.30724100,176.12520000
62.00000088,3.28767100,176.12520000
62.40000089,3.24853200,176.12520000
62.80000089,3.18982400,176.12520000
63.20000090,3.22896300,175.14680000
63.60000090,3.26810200,176.12520000
64.00000091,3.22896300,175.14680000
64.40000092,3.22896300,173.18980000
64.80000092,3.17025400,175.14680000
65.20000093,3.17025400,174.16830000
65.60000093,3.18982400,173.18980000
66.00000094,3.18982400,172.21130000
66.40000094,3.17025400,173.18980000
66.80000095,3.18982400,173.18980000
67.20000095,3.15068500,174.16830000
67.60000096,3.18982400,172.21130000
68.00000096,3.11154600,173.18980000
68.40000097,3.17025400,175.14680000
68.80000097,3.15068500,175.14680000
69.20000098,3.09197600,177.10370000
69.60000098,3.13111500,178.08220000
70.00000099,3.11154600,176.12520000
70.40000100,3.05283800,174.16830000
70.80000100,3.09197600,174.16830000
71.20000101,3.13111500,176.12520000
71.60000101,3.09197600,174.16830000
72.00000102,3.07240700,179.06070000
72.40000102,3.09197600,177.10370000
72.80000103,3.07240700,177.10370000
73.20000103,3.09197600,177.10370000
73.60000104,3.05283800,177.10370000
74.00000104,3.07240700,177.10370000
74.40000105,3.05283800,178.08220000
74.80000105,3.09197600,177.10370000
75.20000106,3.05283800,179.06070000
75.60000106,3.09197600,177.10370000
76.00000107,3.05283800,181.99610000
76.40000108,3.05283800,181.99610000
76.80000108,2.97456000,178.08220000
77.20000109,2.99412900,180.03910000
77.60000109,2.99412900,179.06070000
78.00000110,3.05283800,178.08220000
78.40000110,3.01369900,177.10370000
78.80000111,3.05283800,180.03910000
79.20000111,3.01369900,179.06070000
79.60000112,3.03326800,179.06070000
80.00000112,2.99412900,180.03910000
80.40000113,3.03326800,181.01760000
80.80000113,3.01369900,181.99610000
81.20000114,3.07240700,184.93150000
81.60000114,3.01369900,182.97450000
82.00000115,3.03326800,182.97450000
82.40000116,3.03326800,185.91000000
82.80000116,2.99412900,182.97450000
83.20000117,2.97456000,184.93150000
83.60000117,3.03326800,183.95300000
84.00000118,2.95499000,184.93150000
84.40000118,3.01369900,181.99610000
84.80000119,3.01369900,181.99610000
85.20000119,3.03326800,181.99610000
85.60000120,3.05283800,181.99610000
86.00000120,3.01369900,181.01760000
86.40000121,2.97456000,180.03910000
86.80000121,3.05283800,180.03910000
87.20000122,3.05283800,179.06070000
87.60000123,3.03326800,179.06070000
88.00000123,3.01369900,180.03910000
88.40000124,3.05283800,179.06070000
88.80000124,3.03326800,179.06070000
89.20000125,3.07240700,177.10370000
89.60000125,3.05283800,176.12520000
90.00000126,3.07240700,177.10370000
90.40000126,3.05283800,177.10370000
90.80000127,3.09197600,179.06070000
91.20000127,3.05283800,178.08220000
91.60000128,3.09197600,176.12520000
92.00000128,3.07240700,181.01760000
92.40000129,3.09197600,178.08220000
92.80000129,3.11154600,178.08220000
93.20000130,3.11154600,178.08220000
93.60000131,3.05283800,179.06070000
94.00000131,3.09197600,177.10370000
94.40000132,3.09197600,177.10370000
